Name,Category,ticker
MAYU [s],Metals,7099.KL
OCK [s],Telecommunications Service Providers,172.KL
TRIMODE,Transportation & Logistics Services,199.KL
HEXIND [s],"Industrial Materials, Components & Equipment",161.KL
BCB [s],Property,6602.KL
EPMB [s],Auto Parts,7773.KL
WANGZNG,Houshold Goods,7203.KL
BWYS [s],Metals,313.KL
KEN,Property,7323.KL
METRO [s],Health Care Providers,329.KL
SHH [s],Houshold Goods,7412.KL
IMASPRO,Chemicals,7222.KL
MASTEEL [s],Metals,5098.KL
SUNSURIA [s],Property,3743.KL
KOSSAN [s],Health Care Equipment & Services,7153.KL
CITAGLB [s],Metals,7245.KL
GLOMAC [s],Property,5020.KL
LIONPSIM [s],Industrial Services,8486.KL
CETECH [s],Industrial Services,3024.KL
HARISON,Food & Beverages,5008.KL
LBICAP [s],Property,8494.KL
JFTECH [s],Technology Equipment,146.KL
STRAITS [s],Transportation & Logistics Services,80.KL
APEX,Other Financials,5088.KL
STAR [s],Media,6084.KL
JAG [s],Industrial Services,24.KL
HPPHB [s],Packaging Materials,228.KL
AXIATA [s],Telecommunications Service Providers,6888.KL
ASIAPAC [s],Property,4057.KL
LEFORM [s],Metals,266.KL
EDGENTA [s],Industrial Services,1368.KL
SAB [s],Chemicals,5134.KL
SMETRIC,Software,203.KL
UNITRAD,Building Materials,247.KL
OCNCASH [s],Personal Goods,49.KL
DPS [s],Property,7198.KL
TITIJYA [s],Property,5239.KL
IBHD [s],Property,4251.KL
PCHEM [s],Chemicals,5183.KL
RADIUM [s],Property,5313.KL
NE [s],"Industrial Materials, Components & Equipment",325.KL
SUPREME [s],Food & Beverages,330.KL
RGTBHD [s],Chemicals,9954.KL
RKI [s],Houshold Goods,7006.KL
CEB,Diversified Industrials,5311.KL
BRIGHT,Packaging Materials,9938.KL
VIZIONE [s],Construction,7070.KL
MFLOUR [s],Food & Beverages,3662.KL
TOPVISN [s],Health Care Providers,332.KL
WILLOW [s],Software,8.KL
S&FCAP [s],Wood & Wood Products,8745.KL
VELOCITY,Building Materials,7165.KL
HUBLINE [s],Transportation & Logistics Services,7013.KL
OWG [s],"Travel, Leisure & Hospitality",5260.KL
LAMBO,Software,18.KL
CARLORINO [s],Personal Goods,335.KL
EFFICEN,Industrial Services,64.KL
HEXZA,Chemicals,3298.KL
ENGTEX [s],Metals,5056.KL
HARTA [s],Health Care Equipment & Services,5168.KL
RVIEW [s],Plantation,2542.KL
